Vendedor,No_cliente,Cliente,Familia,Tipo,Acum_ac,Acum_aa,Per_acum,Jan_ac,Jan_aa,Per_jan,Fev_ac,Fev_aa,Per_fev,Mar_ac,Mar_aa,Per_mar,Abr_ac,Abr_aa,Per_abr,Mai_ac,Mai_aa,Per_mai,Jun_ac,Jun_aa,Per_jun,Jul_ac,Jul_aa,Per_jul,Ago_ac,Ago_aa,Per_ago,Set_ac,Set_aa,Per_set,Out_ac,Out_aa,Per_out,Nov_ac,Nov_aa,Per_nov,Dez_ac,Dez_aa,Per_dez
Antonio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",910,Revendedor A        ,609.57,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.57,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",913,Revendedor A        ,0,22.6,-100,0,0,0,0,0,0,0,0,0,0,5.65,-100,0,0,0,0,11.3,-100,0,0,0,0,0,0,0,5.65,-100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,211534,MISTURADURA - LDA                                                                                                                                                                   ,913,Revendedor A        ,0,5.65,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,-100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",CAROLUS ,Revendedor A        ,92.84,0,100,92.84,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",CAROLUS ,Revendedor A        ,176.81,302.74,-415.968,0,0,0,0,92.36,-100,0,0,0,0,0,0,0,210.38,-100,0,0,0,0,0,0,0,0,0,176.81,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204387,"ALCIDES CARVALHO & IRMAO, LDA.                                                                                                                                                      ",GEDORE,Revendedor A        ,125.44,0,100,0,0,0,0,0,0,0,0,0,0,0,0,99.46,0,100,25.98,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202173,"AMAVICAL-MAQUINAS E FERRA MENTAS, LDA                                                                                                                                               ",GEDORE,Revendedor A        ,21507.19,465.3,4522.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.3,-100,9993.9,0,100,9649.93,0,100,1863.36,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,207144,EQUINOVENTO-COMêRCIO DE EQUIPAMENTOS                                                                                                                                                ,GEDORE,Revendedor A        ,0,406.15,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,-100,0,20.15,-100,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202911,"JOAO LOPES & OTERELO,LDA GN - Garagem Nova                                                                                                                                          ",GEDORE,Revendedor A        ,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",GEDORE,Revendedor A        ,2608.79,194.15,12.436.981,62.65,0,100,0,0,0,0,0,0,0,194.15,-100,220.64,0,100,0,0,0,535.5,0,100,0,0,0,1790,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204671,"MC - COUTINHOS, LDA. MAFER                                                                                                                                                          ",GEDORE,Revendedor A        ,381.46,440.5,-13.403,0,101.75,-100,180.5,0,100,97.5,66,477.272,0,0,0,0,0,0,34.49,123.75,-721.293,68.97,66,4.5,0,11,-100,0,72,-100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,200227,"MEADELA PECAS, LDA                                                                                                                                                                  ",GEDORE,Revendedor A        ,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206832,"REAL BOBINAGEM, UNIPESSOAL, LDA.                                                                                                                                                    ",GEDORE,Revendedor A        ,548.87,0,100,0,0,0,0,0,0,456.57,0,100,0,0,0,92.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",GEDORE,Revendedor A        ,0,781.48,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,781.48,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,210780,TOPE REPARAÄÂES - FERRAMENTAS LDA                                                                                                                                                   ,GEDORE,Revendedor A        ,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204387,"ALCIDES CARVALHO & IRMAO, LDA.                                                                                                                                                      ",CAROLUS ,Revendedor A        ,206.16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,128.08,0,100,78.08,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,201280,"BRICONORTE-COMERCIO DE BRICOLAGE,LDA                                                                                                                                                ",CAROLUS ,Revendedor A        ,65.97,0,100,0,0,0,0,0,0,65.97,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206522,CICLO COMERCIAL-ELECTRODOMESTICOS E MATERIAIS                                                                                                                                       ,CAROLUS ,Revendedor A        ,275.2,0,100,0,0,0,0,0,0,275.2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202911,"JOAO LOPES & OTERELO,LDA GN - Garagem Nova                                                                                                                                          ",CAROLUS ,Revendedor A        ,175.6,0,100,175.6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",CAROLUS ,Revendedor A        ,1374.4,2484.2,-446.744,939.55,174.3,4.390.418,0,0,0,0,0,0,0,1066.15,-100,414.82,9.31,4.355.639,0,0,0,20.03,1177.52,-98.299,0,0,0,0,56.92,-100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205628,"MATERIALIA-MATERIAIS DE CONSTRUCAO,S.A.                                                                                                                                             ",CAROLUS ,Revendedor A        ,128.44,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.44,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204671,"MC - COUTINHOS, LDA. MAFER                                                                                                                                                          ",CAROLUS ,Revendedor A        ,604.78,0,100,555.61,0,100,49.17,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206519,"PARAUTA & COUTOS-MATERIAIS DE CONSTRUÄ«O, LDA.                                                                                                                                      ",CAROLUS ,Revendedor A        ,193.01,0,100,0,0,0,0,0,0,193.01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",CAROLUS ,Revendedor A        ,1741.46,1953.99,-108.768,0,0,0,0,276.91,-100,285.04,0,100,0,0,0,0,1574.39,-100,0,0,0,0,0,0,0,102.69,-100,1456.42,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204502,"MANUEL ALVES RODRIGUES, HERDEIROS CASA BENITO                                                                                                                                       ",GEDORE,Revendedor A        ,0,126.83,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.83,-100,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",GEDORE,Revendedor A        ,67.13,0,100,67.13,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,212651,"AGOSTINHO PEREIRA NETO, UNIPESSOAL LDA CASA NETO                                                                                                                                    ",,Revendedor A        ,507.04,751.7,-325.476,0,0,0,0,0,0,507.04,0,100,0,0,0,0,649.66,-100,0,0,0,0,102.04,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206828,"ANTONIO FREITAS CUNHA BRICOLAGE, LDA.                                                                                                                                               ",SKIL,Revendedor A        ,153.6,0,100,0,0,0,153.6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,211810,CASASANTIAGO COMERCIO DE MATERIAS DE CONSTRUÄ«O UNIPESS                                                                                                                             ,SKIL,Revendedor A        ,542.18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401.82,0,100,140.36,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,212653,FAUSTINO HERCULANO CARVALHO AMORIM FAUCAL                                                                                                                                           ,SKIL,Revendedor A        ,2662.66,3595.13,-259.371,255.99,895.62,-714.176,347.06,258.84,340.828,532.67,0,100,115.9,2042.34,-943.252,364.9,-656.74,-1.555.623,678.94,0,100,311.19,0,100,0,0,0,56.01,1055.07,-946.914,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202911,"JOAO LOPES & OTERELO,LDA GN - Garagem Nova                                                                                                                                          ",SKIL,Revendedor A        ,2758.72,1811.28,523.077,0,0,0,381.62,0,100,0,0,0,0,0,0,704.06,0,100,314.88,0,100,1029.06,14.26,71.164.095,140.36,20.3,5.914.285,188.74,1776.72,-893.771,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204502,"MANUEL ALVES RODRIGUES, HERDEIROS CASA BENITO                                                                                                                                       ",SKIL,Revendedor A        ,478.24,190.81,1.506.367,0,0,0,0,0,0,478.24,0,100,0,190.81,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",SKIL,Revendedor A        ,2956.61,2185.58,35.278,936.59,381.62,1.454.247,352.97,0,100,294.68,0,100,0,0,0,666.08,0,100,0,2170.32,-100,0,307.97,-100,0,0,0,706.29,-674.33,-2.047.395,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205628,"MATERIALIA-MATERIAIS DE CONSTRUCAO,S.A.                                                                                                                                             ",SKIL,Revendedor A        ,5466.58,11570.25,-527.532,838.84,0,100,0,0,0,1279.42,0,100,0,0,0,566.82,6285.12,-909.816,580.93,2608.58,-777.301,1251.36,0,100,905.14,957.62,-54.803,44.07,1718.93,-974.362,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,200227,"MEADELA PECAS, LDA                                                                                                                                                                  ",SKIL,Revendedor A        ,0,102.04,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,102.04,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205363,"MOTORAC - MOTOCICLOS COMERCIO, LDA. Ferrama                                                                                                                                         ",SKIL,Revendedor A        ,568.9,0,100,0,0,0,279,0,100,0,0,0,0,0,0,0,0,0,289.9,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206832,"REAL BOBINAGEM, UNIPESSOAL, LDA.                                                                                                                                                    ",SKIL,Revendedor A        ,4542.14,1137.91,2.991.651,128.16,16.93,6.569.994,1607.17,0,100,0,0,0,0,0,0,0,650.15,-100,778.73,182.01,3.278.501,0,288.82,-100,1888.76,0,100,139.32,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",SKIL,Revendedor A        ,5090.44,8857.9,-425.323,99.8,0,100,0,648.14,-100,945.88,418.36,1.260.923,120.18,0,100,1689.58,4703.25,-640.764,593.93,453.59,309.398,690.46,805.76,-143.095,441.16,1642.23,-731.366,509.45,186.57,173.061,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,214877,"TECNIWINE, UNIPESSOAL LDA                                                                                                                                                           ",SKIL,Revendedor A        ,470.99,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.08,0,100,342.91,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",1035,Revendedor A        ,534.64,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.52,0,100,27.67,0,100,18.45,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",1036,Revendedor A        ,365.05,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.4,0,100,108.65,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,205243,"SOUMAD - COMERCIO DE MADEIRA E DERIVADOS,  LDA. SOUMAD VALENÄA                                                                                                                      ",1045,Revendedor A        ,438.19,0,100,0,0,0,0,0,0,0,0,0,0,0,0,10.31,0,100,0,0,0,415.92,0,100,0,0,0,11.96,0,100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202911,"JOAO LOPES & OTERELO,LDA GN - Garagem Nova                                                                                                                                          ",NEOSAFETY,Revendedor A        ,873.24,0,100,873.24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,211534,MISTURADURA - LDA                                                                                                                                                                   ,NEOSAFETY,Revendedor A        ,233.2,595.33,-608.285,0,0,0,0,85.04,-100,0,0,0,0,210.43,-100,0,0,0,0,0,0,233.2,199.9,166.583,0,0,0,0,99.96,-100,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206832,"REAL BOBINAGEM, UNIPESSOAL, LDA.                                                                                                                                                    ",NEOSAFETY,Revendedor A        ,58.81,0,100,23.21,0,100,0,0,0,0,0,0,0,0,0,35.6,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,212651,"AGOSTINHO PEREIRA NETO, UNIPESSOAL LDA CASA NETO                                                                                                                                    ",PCL,Revendedor A        ,333.37,339.06,-16.782,0,0,0,0,0,0,0,0,0,0,0,0,0,39.12,-100,0,0,0,333.37,299.94,111.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,212653,FAUSTINO HERCULANO CARVALHO AMORIM FAUCAL                                                                                                                                           ,PCL,Revendedor A        ,577.98,453.56,274.318,0,0,0,0,0,0,200.05,0,100,0,0,0,0,161.98,-100,0,0,0,161.97,161.98,-0.0062,0,0,0,215.96,129.6,666.358,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,200227,"MEADELA PECAS, LDA                                                                                                                                                                  ",PCL,Revendedor A        ,0,118.63,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.63,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,206167,"MANUEL PATACO-MATERIAIS DE CONSTRUÄ«O,LDA                                                                                                                                           ",1134,Revendedor A        ,0,5.84,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204501,"AGRO - TRANSMONTANO, COMERCIO DE FERRAGENS, LDA.                                                                                                                                    ",1400,Revendedor A        ,0,1108.6,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.6,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,204387,"ALCIDES CARVALHO & IRMAO, LDA.                                                                                                                                                      ",1400,Revendedor A        ,358.78,0,100,0,0,0,358.78,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant¢nio Ferreira              ,202173,"AMAVICAL-MAQUINAS E FERRA MENTAS, LDA                                                                                                                                               ",1400,Revendedor A        ,96.86,0,100,0,0,0,0,0,0,0,0,0,96.86,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
